show_name,country,num_episodes,aired_on,original_network,rating,current_overall_rank,lifetime_popularity_rank,watchers
Meteor Garden,China,50,"Monday, Tuesday, Wednesday",Hunan TV,8,1090,76,39545
He Is Psychometric,South Korea,16,"Monday, Tuesday",tvN,8.4,335,77,39365
Sassy Go Go,South Korea,12,"Monday, Tuesday",KBS2,8.2,640,78,39218
Memories of the Alhambra,South Korea,16,"Saturday, Sunday","tvN, Netflix",8.1,803,79,38674
Queen In Hyun's Man,South Korea,16,"Wednesday, Thursday",tvN,8.5,227,80,38582
Introverted Boss,South Korea,16,"Monday, Tuesday",tvN,7.9,1247,82,38309
Emergency Couple,South Korea,21,"Friday, Saturday",tvN,8,1145,83,38266
True Beauty,South Korea,16,"Wednesday, Thursday",tvN,8.4,272,84,38080
Hana Yori Dango,Japan,9,,,8.3,508,85,37920
School 2013,South Korea,16,"Monday, Tuesday",KBS2,8.2,533,86,37819
The Beauty Inside,South Korea,16,"Monday, Tuesday",jTBC,8.4,327,87,36945
Thirty But Seventeen,South Korea,32,"Monday, Tuesday",SBS,8.5,208,88,36850
The Innocent Man,South Korea,20,"Wednesday, Thursday",KBS2,8.1,743,89,36822
"Marriage, Not Dating",South Korea,16,"Friday, Saturday",tvN,8.2,653,90,36673
Shopping King Louie,South Korea,16,"Wednesday, Thursday",MBC,8.2,579,91,36601
Faith,South Korea,24,"Monday, Tuesday",SBS,8.1,793,92,36429
Angel's Last Mission: Love,South Korea,32,"Wednesday, Thursday",KBS2,,259,93,
Hospital Playlist,South Korea,12,Thursday,"tvN, Netflix",9.1,2,94,35599
Abyss,South Korea,16,"Monday, Tuesday","tvN, Netflix",7.8,1577,95,35580
,South Korea,16,"Wednesday, Thursday","tvN, Netflix",9.1,12,96,35508
Another Miss Oh,South Korea,18,"Monday, Tuesday",tvN,8.3,469,97,35354
Flower of Evil,South Korea,16,"Wednesday, Thursday",tvN,9.1,4,98,34901
Shut Up: Flower Boy Band,South Korea,16,"Monday, Tuesday",tvN,8.1,806,99,34668
Blood,South Korea,20,"Monday, Tuesday",KBS2,7.4,3271,100,34666
Chicago Typewriter,South Korea,16,"Friday, Saturday",tvN,8.8,51,101,
Sungkyunkwan Scandal,South Korea,20,"Monday, Tuesday",KBS2,8.2,605,102,34615
Vagabond,South Korea,16,"Friday, Saturday","SBS, Netflix",8.5,238,103,34523
